study,site_id,country,region,subject_count,site_risk_category,cluster_id,cluster_name,prob_cluster_0,prob_cluster_1,prob_cluster_2
Study_22,Site 1335,HRV,EMEA,5,Low,0,Cluster_0_Low_Risk,1.0,0.0,2.338284220982613e-19
Study_22,Site 1336,HRV,EMEA,141,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1337,HRV,EMEA,33,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.551771151191247e-19
Study_22,Site 1338,HRV,EMEA,1,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.7354866714353175e-20
Study_22,Site 1339,HRV,EMEA,4,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.8762291110292744e-19
Study_22,Site 1340,HRV,EMEA,7,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1341,HRV,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 1342,HRV,EMEA,89,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1343,HRV,EMEA,1,High,1,Cluster_1_High_Risk_Elevated_DQI,0.0,1.0,0.0
Study_22,Site 1346,DNK,EMEA,14,Medium,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1347,DNK,EMEA,24,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.543580913385263e-19
Study_22,Site 1348,DNK,EMEA,13,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.1898786744376856e-19
Study_22,Site 1349,DNK,EMEA,28,Low,0,Cluster_0_Low_Risk,1.0,0.0,3.8785859243436694e-19
Study_22,Site 1350,DNK,EMEA,95,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.15588739007653e-19
Study_22,Site 1351,DNK,EMEA,133,Low,0,Cluster_0_Low_Risk,1.0,0.0,5.770212250728651e-20
Study_22,Site 1354,DNK,EMEA,3,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.3691631706922861e-19
Study_22,Site 1355,DNK,EMEA,12,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.866172266567976e-18
Study_22,Site 1359,LVA,EMEA,14,Low,0,Cluster_0_Low_Risk,1.0,0.0,4.2558321214886884e-19
Study_22,Site 1360,LVA,EMEA,10,Low,0,Cluster_0_Low_Risk,1.0,0.0,1.69074282070627e-17
Study_22,Site 1362,LVA,EMEA,62,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1363,LVA,EMEA,27,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1364,LVA,EMEA,10,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1365,LVA,EMEA,2,Low,0,Cluster_0_Low_Risk,1.0,0.0,8.469757767512745e-20
Study_22,Site 1388,LTU,EMEA,29,Low,2,Cluster_2_Average,0.0,0.0,1.0
Study_22,Site 1389,LTU,EMEA,31,Low,2,Cluster_2_Average,0.0,0.0,1.0
